Title,Genre,G_news,Vader,Polar,Subject,IMDB
The Xpos??,6,0.5,-0.03,0.03,0.3,4.3
Children of War,4,0.3,-0.37,-0.01,0.34,6.8
Heropanti,2,0.65,0.13,0.19,0.36,5.3
Kochadaiiyaan,8,0.45,-0.04,0.04,0.14,6.5
City Lights,3,0.45,0.12,0.1,0.24,8.5
Kuku Mathur Ki Jhand Ho Gayi,3,0.45,0,0,0,5.4
Filmistaan,3,0.55,0.34,0.07,0.1,7.3
Holiday,3,0.65,0.36,0.08,0.35,5.8
Fugly,4,0.5,-0.12,-0.02,0.36,4.7
Machhli Jal Ki Rani Hai,7,0.55,0,0,0,3
Humshakals,3,0.5,-0.1,-0.05,0.35,1.8
Ek Villain,2,0.55,-0.12,0.2,0.34,6.5
Bobby Jasoos,3,0.5,0,0,0,5.5
Lekar Hum Deewana Dil,3,0.6,0,0.12,0.17,5
Humpty Sharma Ki Dulhania,3,0.5,0.41,0.2,0.37,6.1
Hate Story 2,4,0.4,-0.18,-0.17,0.54,4.4
Bazaar-E-Husn,4,0.55,0,0,0,5
Riyasat,6,0.6,0.06,0.08,0.24,6.5
Amit Sahni Ki List,3,0.5,0.23,0.5,0.5,5.5
Pizza,7,0.55,0.16,0.1,0.39,6.3
Kick,2,0.4,-0.04,0.04,0.26,8
Entertainment,4,0.7,0.26,0.13,0.36,5.7
Singham Returns,2,0.55,0.05,0.13,0.32,5.7
Life is Beautiful!,3,0.8,0.58,0.43,0.68,8.6
Mad About Dance,4,0.4,-0.13,-0.22,0.7,6.2
Mardaani,2,0.65,0.04,0.04,0.55,7.3
Mumbhai Connection,3,0.4,0,0,0,5.6
Abhinay Chakra,2,0.6,0,0,0,3.5
Raja Natwarlal,6,0.5,0.14,-0.02,0.11,6.1
Mary Kom,2,0.6,0.26,0.19,0.33,6.8
Creature,7,0.5,0.13,0.09,0.45,4.3
Finding Fanny,1,0.55,0.11,0.04,0.17,5.8
Daawat-E-Ishq,3,0.6,0,0,0,6.2
Khoobsurat,3,0.5,0.19,0.15,0.29,6.4
3 A.M.,6,0.55,0.06,0.06,0.38,5.9
Chaarfutiya Chhokare,4,0.55,0,0,0,6.3
Desi Kattey,2,0.6,0,0,0,4.4
Meinu Ek Ladki Chaahiye,3,0.55,0,0,0,3.5
Balwinder Singh Famous Ho Gaya,3,0.6,0,0,0,3.9
Bang Bang!,3,0.65,0.08,0.07,0.34,8.2
Haider,2,0.55,0.2,0.13,0.29,8.1
Jigariyaa,4,0.5,0,0,0,5
Ekkees Toppon Ki Salaami,3,0.5,0,0,0,6.2
Tamanchey,6,0.55,0,0,0,4.6
Mumbai 125 KM 3D,4,0.5,0,0,0,2.9
Sonali Cable,3,0.5,0,0,0,5.6
Happy New Year,3,0.55,0.59,0.4,0.65,5.1
Mumbai Can Dance Saala,4,0.6,0,0,0,2.8
Fireflies,4,0.5,0.17,0.15,0.32,7
Roar - Tigers of Sunderbans,2,0.5,0,0,0,5.7
Super Nani,3,0.6,0.55,0.26,0.51,8.5
Chaar Sahibzaade,8,0.55,-0.48,-0.16,0.29,8.3
Rang Rasiya,4,0.5,0.09,0.06,0.19,7.3
A Decent Arrangement,3,0.5,0.33,0.15,0.44,5.7
The Shaukeens,3,0.6,0,0,0,5.2
6 - 5 = 2,7,0.55,0.16,-0.01,0.32,6.1
Kill Dil,2,0.5,-0.33,0.08,0.28,4.4
Golu Aur Pappu,3,0.4,-0.44,0,0.25,4.5
Happy Ending,4,0.6,0.55,0.54,0.81,7.7
Titoo MBA,3,0.65,0,0,0,4.7
Wah Taj,4,0.55,0.1,0.19,0.31,6.1
Hum Hai Teen Khurafaati,3,0.5,0,0,0,7
Ungli,6,0.45,0.01,0.05,0.25,5.8
Zed Plus,3,0.4,0.18,0.09,0.46,6.4
Zid,6,0.45,0.05,0.02,0.19,4.4
Action Jackson,2,0.5,0.09,0.07,0.29,5.3
Bhopal: A Prayer for Rain,4,0.4,-0.04,0.12,0.25,7.3
Mumbai Delhi Mumbai,3,0.55,0.07,0.07,0.3,5.8
Sulemani Keeda,3,0.5,0.08,0,0.1,7.2
Take It Easy,4,0.6,0.35,0.23,0.67,7.8
Badlapur Boys,4,0.5,-0.27,-0.13,0.3,4.8
Main Aur Mr. Riight,3,0.55,0,0,0,5.7
Room - The Mystery,5,0.4,0.07,0.06,0.39,4.1
PK,3,0.4,0.07,0.07,0.22,8.2
Lingaa,2,0.45,-0.05,-0.06,0.36,5.8
Ugly,6,0.15,-0.36,-0.36,0.8,5.7
International Hero,2,0.65,0.25,0.04,0.25,5.6
Mumbai Can Dance Saala,4,0.6,0,0,0,2.8
Take It Easy,4,0.6,0.35,0.23,0.67,7.8
Tevar,2,0.75,0.2,0.14,0.33,4.2
Alone,6,0.4,-0.08,0.08,0.4,8.4
Crazy Cukkad Family,3,0.45,0,0,0,5.3
Sharafat Gayi Tel Lene,3,0.5,0,0,0,5.2
Baby,4,0.55,0.14,0.12,0.27,7.6
Dolly Ki Doli,3,0.5,-0.08,-0.01,0.34,4.6
Chal Guru Ho Ja Shuru,3,0.55,0,0,0,4.9
Hawaizaada,6,0.5,0.5,0.15,0.33,5.6
Khamoshiyan: Silences Have Secrets,4,0.55,0,0,0,4.1
Rahasya,6,0.4,0.12,0.12,0.22,7.6
Jai Jawaan Jai Kisaan,6,0.5,0.07,0.17,0.41,5.4
Shamitabh,4,0.5,-0.58,-0.18,0.49,6.8
MSG: The Messenger,2,0.5,0.07,0.08,0.22,6.6
Roy,2,0.45,0.12,0.09,0.38,6.6
Badlapur,2,0.5,0.02,0.07,0.26,7.5
Qissa,4,0.5,0.1,0.13,0.25,6.6
Ab Tak Chhappan 2,2,0.5,0,0,0,5.8
Dum Laga Ke Haisha,3,0.6,0.77,0.23,0.49,7.5
Badmashiyaan,3,0.6,0,0,0,4.7
Coffee Bloom,4,0.5,0.38,0.22,0.42,6.5
Dirty Politics,4,0.35,-0.31,-0.22,0.58,2.6
Hey Bro,2,0.55,0.18,0.1,0.29,3.4
NH10,2,0.55,0.43,0.05,0.41,7.2
Dilliwali Zaalim Girlfriend,3,0.45,0,0,0,3.8
Hunterrr,3,0.5,0.06,0.05,0.41,7
Barkhaa,4,0.4,-0.04,0,0.5,5.2
Detective Byomkesh Bakshy,2,0.5,0.32,0.21,0.25,7.6
Luckhnowi Ishq,4,0.55,0,0,0,6.6
Dharam Sankat Mein,3,0.45,0,0,0.12,6.3
Ek Paheli Leela,6,0.75,0,0,0,3.8
Court,4,0.65,0,-0.06,0.36,7.7
Margarita with a Straw,4,0.55,0.05,0.1,0.25,7.3
NH-8 Road to Nidhivan,7,0.5,0,0,0,2.9
Ishq Ke Parindey,6,0.55,0,0,0,6.8
Kaagaz Ke Fools,3,0.45,0,0,0,3.9
Gabbar is Back,2,0.55,0.13,0.04,0.14,7.2
Sabki Bajegi Band,3,0.5,0,0,0,5.4
Kuch Kuch Locha Hai,3,0.75,-0.11,-0.06,0.27,2.6
Piku,3,0.45,0.21,0.16,0.34,7.6
Bombay Velvet,2,0.6,0.17,0.08,0.39,5.7
Main Hoon Rajinikanth,3,0.55,0.6,0.17,0.33,7.2
Tanu Weds Manu Returns,3,0.55,0,-0.08,0.17,7.7
Ishqedarriyaan,6,0.6,0.65,0.3,0.35,4.8
P Se PM Tak,3,0.55,0,0,0,3.9
Welcome 2 Karachi,1,0.65,0.46,0.4,0.45,4.4
Dil Dhadakne Do,3,0.55,0.13,0.13,0.35,6.8
Mere Genie Uncle 3D,3,0.5,0,0,0,4.5
Hamari Adhuri Kahani,4,0.55,0.15,0.29,0.51,6.7
ABCD 2,6,0.55,0.23,0.11,0.31,5.6
Miss Tanakpur Haazir Ho ,3,0.4,0,0,0,5.4
Uvaa,3,0.5,0.15,0,0,4.9
Bezubaan Ishq,6,0.6,0,0,0,4
Guddu Rangeela,3,0.65,0,0.1,0.2,5.3
Second Hand Husband,3,0.4,0.16,0.03,0.18,4.1
Baahubali,2,0.45,0.25,0.1,0.36,8.1
I Love NY,3,0.8,0.51,0.28,0.54,3.9
Thoda Lutf Thoda Ishq,3,0.5,0,0,0,4.1
Bajrangi Bhaijaan,2,0.5,0.1,0.04,0.42,8
Aisa Yeh Jahaan,4,0.5,0,0,0,7.1
Masaan,4,0.65,0.2,0.19,0.31,8.1
Drishyam,6,0.4,0.24,0.18,0.33,8.3
Bangistan,3,0.45,0.16,0.16,0.27,4.6
All Is Well,4,0.6,0.24,0.04,0.34,3.8
Gour Hari Dastaan,6,0.65,0,0,0,7.5
Manjhi - The Mountain Man,1,0.6,0.07,0.15,0.24,8
Kaun Kitney Paani Mein,3,0.6,0,0,0,6.2
Phantom,2,0.5,0.05,0.1,0.34,7.3
Welcome Back,3,0.75,0.48,0.36,0.47,4.2
Sorry Daddy,2,0.5,-0.02,-0.2,0.78,5.4
Katti Batti,3,0.55,-0.04,-0.04,0.09,4.9
Meeruthiya Gangster,6,0.5,0,0,0,7.2
MSG-2:The Messenger,3,0.45,0,0,0.06,7.1
Kis Kisko Pyaar Karoon,3,0.55,0,0,0,5.7
Calendar Girls,3,0.5,0.29,0.18,0.41,6.9
Bhaag Johnny,2,0.6,0,0,0,5.1
Time Out,2,0.6,0.11,0.07,0.37,6.5
Singh Is Bliing,2,0.5,0.36,0,0,5.3
Talvar,6,0.5,0.18,0.29,0.42,8.2
Jazbaa,2,0.5,0.14,0.14,0.26,5.8
Bumper Draw,3,0.5,0.47,0.26,0.27,5
Chinar Daastaan-E-Ishq,6,0.5,0,0,0,6.9
Pyaar Ka Punchnama 2,3,0.6,0,0,0,7.3
Wedding Pullav,3,0.55,0,0,0,4
Shaandaar,3,0.55,0.28,0.23,0.36,3.7
Titli,2,0.55,0.13,0.07,0.36,7.6
Main Aur Charles,2,0.55,0.02,0.2,0.28,6.3
Once Upon A Time In Bihar,5,0.45,0.48,0.22,0.46,7
Guddu Ki Gun,3,0.35,0,0,0,4.8
Love Exchange,4,0.65,0.54,0.3,0.52,5.9
Four Pillars of Basement,2,0.55,0.78,0.47,0.7,4.4
Charlie Kay Chakkar Mein,5,0.5,0,0,0,4.6
Yaara Silly Silly,6,0.55,0.28,-0.1,0.57,5.7
Ranbanka,2,0.5,0.05,0.07,0.3,4.5
Prem Ratan Dhan Payo,2,0.55,0.1,0.01,0.25,4.6
X,6,0.55,0.12,0.09,0.28,6.1
Angry Indian Goddesses,3,0.3,-0.16,-0.18,0.7,6.9
Tamasha,3,0.55,0.07,0.08,0.38,7.2
Hate Story 3,4,0.45,-0.18,-0.12,0.53,4.5
Kajarya,4,0.5,0,0,0,6.6
The Silent Heroes,1,0.75,0.3,0.08,0.35,6.6
Bajirao Mastani,2,0.6,0.15,0.12,0.41,7.2
Dilwale,2,0.55,0.21,0.13,0.35,5.2
Monsoon Shootout,2,0.6,-0.38,0,0,6.5
Wazir,2,0.45,-0.01,0.08,0.28,7.1
Chalk n Duster,4,0.55,0,0,0,6.6
Rebellious Flower,6,0.5,0.31,0.2,0.48,6.5
Airlift,4,0.55,0,0.06,0.23,8.1
Jugni,4,0.5,0.19,0.12,0.26,6.1
Kyaa Kool Hain Hum 3,3,0.6,0,0,0,1.9
Saala Khadoos,2,0.6,0,0,0,7.6
Mastizaade,3,0.55,0.2,0.21,0.49,2.4
Sanam Teri Kasam,4,0.55,0.11,0.06,0.35,7.3
Ghayal Once Again,2,0.65,0.04,-0.11,0.22,6.5
Fitoor,4,0.7,0.16,0.17,0.36,5.4
Sanam Re,4,0.45,0.13,0.18,0.31,3.2
Direct Ishq,2,0.4,0,0,0,4
Ishq Forever,6,0.45,0.23,0.19,0.49,3.8
LoveShhuda,3,0.5,0,0,0,4.5
Neerja,6,0.7,0.2,0.1,0.26,7.7
Dhara 302,4,0.5,0,0,0,4.7
Aligarh,6,0.15,-0.05,0.07,0.18,7.8
Bollywood Diaries,4,0.6,0.07,0.12,0.25,6
Love Shagun,3,0.75,0.39,0.38,0.47,5.8
Tere Bin Laden: Dead or Alive,3,0.5,0,0,0,4.3
Zubaan,4,0.55,0.04,0.01,0.35,6.1
Jai Gangaajal,6,0.5,0,0,0,5.7
Global Baba,5,0.55,0.14,0.06,0.18,5.6
Teraa Surroor,2,0.55,0,0,0,2.8
Kapoor & Sons,3,0.55,0.11,0.13,0.22,7.7
Rocky Handsome,2,0.45,0.54,0.42,0.81,6.8
Ki & Ka,3,0.7,0.07,0.08,0.29,5.8
Love Games,5,0.75,0.53,0.25,0.49,4.4
The Blueberry Hunt,2,0.65,0.55,0.38,0.69,5.7
Fan,2,0.65,0.28,0.08,0.38,5.8
Nil Battey Sannata,4,0.55,0.28,0.22,0.49,8.4
Laal Rang,2,0.55,-0.04,0.03,0.45,8.1
Santa Banta Pvt Ltd,3,0.5,0,0,0,3
Baaghi,2,0.5,0.11,0.12,0.25,5.2
Shortcut Safari ,1,0.55,0.1,0.03,0.49,6
One Night Stand,4,0.5,0.12,0.11,0.33,3.1
Traffic,6,0.45,0.07,0.06,0.35,7.6
1920 London,7,0.5,0.16,0.12,0.3,4.1
Azhar,6,0.3,0.15,0.07,0.27,5.8
Buddha in a Traffic Jam,6,0.5,0.02,0.08,0.3,6.9
Dear Dad,4,0.75,0.43,0.11,0.41,6.5
Kaptaan,3,0.55,0.22,0.15,0.42,6.4
Sarbjit,6,0.4,0.02,0.09,0.35,7.3
Phobia,7,0.45,-0.2,0.07,0.39,6.9
Veerappan,2,0.4,0.03,0.03,0.32,5.3
Fredrick,2,0.45,0.13,0.07,0.26,5
Waiting,3,0.5,0.07,0.06,0.38,6.8
Housefull 3,2,0.6,0.07,0.01,0.22,5.2
Do Lafzon Ki Kahani,2,0.6,0,0,0,6.5
Dhanak,4,0.5,0.26,0.18,0.34,8.4
Te3n,4,0.5,0.53,0.48,0.65,7.2
Udta Punjab,2,0.55,0.2,0.16,0.37,7.8
Luv U Alia,6,0.75,0.15,-0.01,0.38,5.3
Raman Raghav 2.0,6,0.6,0.05,0.05,0.4,7.3
Junooniyat,4,0.45,0.27,0.43,0.66,4.4
7 Hours To Go,6,0.45,0.08,0.07,0.37,5.7
A Scandall,5,0.4,-0.19,-0.29,0.4,7.8
Rough Book,4,0.2,0.22,0.08,0.44,7.4
Shorgul,4,0.45,0.43,0.17,0.56,5.7
Dil Toh Deewana Hai,4,0.6,0,0,0,7.1
Sultan,2,0.55,0.15,0.11,0.22,7.1
Brahman Naman,3,0.5,0,0,0,5.6
Great Grand Masti,3,0.65,0.69,0.49,0.83,3.7
Madaari,1,0.5,0.19,0.2,0.43,7.6
Ishq Click,4,0.55,0.3,0.41,0.59,4.4
M Cream,1,0.55,0.04,0.03,0.33,6.3
Kabali,2,0.4,0.18,0.17,0.31,6.3
Dishoom,2,0.55,0.3,0.21,0.42,5.1
Love Ke Funday,3,0.65,0,0,0,7.2
The Legend of Michael Mishra,3,0.5,0,0,0,4.5
Fever,4,0.5,0.01,0.03,0.34,5.6
Hai Apna Dil Toh Awara,3,0.5,0,0,0,6.4
Mohenjo Daro,2,0.4,-0.02,0.03,0.25,5.8
Rustom,6,0.5,0.16,0.11,0.3,7.1
Happy Bhaag Jayegi,3,0.75,0,0,0,6.4
Waarrior Savitri,2,0.5,0,0,0,5.1
A Flying Jatt,2,0.4,0,0.02,0.13,3.3
Akira,8,0.8,0.17,0.07,0.32,8.1
Yea Toh Two Much Ho Gayaa,2,0.6,0,0,0,4.4
Island City,6,0.45,0.18,0.09,0.33,6.7
Baar Baar Dekho,3,0.55,0.1,0.08,0.37,5.3
Freaky Ali,3,0.6,-0.12,0.11,0.22,5
Raaz Reboot,7,0.45,0.44,0.37,0.26,4.6
Pink,4,0.55,0.14,0.03,0.37,8.2
Parched,4,0.6,0.09,0.04,0.31,7.6
Banjo,2,0.6,0.12,0.09,0.42,5.1
Days of Tafree,3,0.5,0,0,0,7.8
Wah Taj,4,0.55,0.1,0.19,0.31,6.1
M.S. Dhoni: The Untold Story,6,0.5,0.09,0.13,0.22,7.7
Mirzya,4,0.55,0.28,0.19,0.33,4.7
MSG: The Warrior Lion Heart,1,0.4,0,0,0,7.5
Tutak Tutak Tutiya,3,0.6,0.38,0,0,5.4
Anna ,2,0.55,0.13,0.11,0.3,6.9
Motu Patlu: King Of Kings,1,0.45,0,0,0,7.5
Beiimaan Love,4,0.7,0,0,0,2.8
Saat Uchakkey,3,0.5,0,0,0,5.7
Fuddu,3,0.65,0.01,0.06,0.31,5.6
Ek Tera Saath,7,0.55,0,0.16,0.59,5.7
Umrika,3,0.55,0.18,0.17,0.28,6.7
31st October,2,0.4,0.02,0.05,0.31,5.8
Shivaay,2,0.6,0.22,0.14,0.4,6.3
Ae Dil Hai Mushkil,4,0.5,0.16,0.11,0.28,5.8
Chaar Sahibzaade: Rise of Banda Singh Bahadur,8,0.5,-0.48,-0.16,0.29,8.4
Dongri Ka Raja,2,0.5,0,0,0,4.3
Ishq Junoon,6,0.65,0.47,0.36,0.36,4.5
Rock On 2,4,0.45,0.12,0.09,0.35,5
Tum Bin 2,4,0.6,0,0.38,0.46,4.9
Force 2,2,0.4,0.01,0.08,0.38,6.3
Dear Zindagi,4,0.65,0.43,0.19,0.36,7.6
Saansein,7,0.55,0.14,0.04,0.11,4
Moh Maya Money,6,0.6,0,0,0,5.7
Kahaani 2,6,0.5,0.32,0.17,0.28,6.6
Befikre,3,0.5,0.12,0.06,0.39,3.9
Wajah Tum Ho,4,0.5,0.26,0.1,0.29,4.4
Dangal,2,0.5,0.13,0.11,0.32,8.5
Haraamkhor,4,0.55,0.05,0.09,0.36,6.4
Ok Jaanu,4,0.6,0.28,0.35,0.39,5.2
Coffee with D,3,0.6,0.3,0.13,0.43,4.6
Kaabil,2,0.45,0.28,0.26,0.4,7.1
Raees,2,0.6,0.18,0.11,0.27,6.9
Jolly LLB 2,3,0.65,0.34,0.06,0.26,7.3
Hind Ka Napak Ko Jawab: MSG Lion Heart 2,2,0.5,0,0,0,7
Runningshaadi.com,3,0.55,0,0,0,6.8
The Ghazi Attack,2,0.45,-0.14,0.21,0.36,7.6
Irada,4,0.4,0.16,0.13,0.31,6.3
Chauhar,4,0.5,0,0,0,7
Rangoon,2,0.55,0.09,0.06,0.34,5.8
Wedding Anniversary,4,0.65,0.41,0.23,0.37,5.4
Mona Darling,7,0.55,0.55,0.12,0.3,5.2
Commando 2,2,0.45,-0.01,0.04,0.33,6.7
Jeena Isi Ka Naam Hai,4,0.55,-0.27,-0.1,0,5.6
Badrinath Ki Dulhania,3,0.5,0.29,0.22,0.51,6.2
Aa Gaya Hero,2,0.7,0.56,0.38,0.42,3.5
Trapped,6,0.35,-0.27,-0.02,0.25,7.6
Machine,2,0.5,0.02,0.09,0.29,7.7
Phillauri,3,0.5,0.17,0.12,0.38,6.1
Bhanwarey,3,0.5,0.64,0.5,0.6,7.5
Anaarkali of Aarah,4,0.55,0.3,0.4,0.6,6.5
Naam Shabana,2,0.5,0.38,0.31,0.52,6.3
Poorna: Courage Has No Limit,1,0.5,0,0,0,7.8
Laali Ki Shaadi Mein Laaddoo Deewana,3,0.5,0,0.5,0.5,3.9
Mirza Juuliet,4,0.55,0,0,0,5.1
Mukti Bhawan,3,0.45,0.35,0.45,0.53,7.2
Saanjh,4,0.6,0.24,0.26,0.35,8.4
Begum Jaan,2,0.5,0.08,0.1,0.19,5.6
Noor,4,0.5,0.13,0.08,0.32,7.7
Maatr,5,0.5,0.06,-0.05,0.2,4.5
Ajab Singh Ki Gajab Kahani,4,0.4,0,0,0,5.9
Mantostaan,4,0.5,0,0,0,6.1
Meri Pyaari Bindu,3,0.55,0.56,0.27,0.66,5.8
Sarkar 3,2,0.55,0.12,0.15,0.3,4.9
Half Girlfriend,4,0.65,0.09,-0.02,0.3,4.3
Jattu Engineer,3,0.5,0.03,0.1,0.78,6.1
Hindi Medium,3,0.5,0.16,0.12,0.3,7.8
Sachin: A Billion Dreams,6,0.55,0.44,0.03,0.18,8.7
Thodi Thodi Si Manmaaniyan,4,0.6,0,0,0,6.2
A Death in the Gunj,4,0.5,-0.34,0.1,0.26,7.5
Hanuman Da Damdaar,8,0.5,0,0,0,6.7
Sweetiee Weds NRI,3,0.55,0,0,0,4
Dobaara: See Your Evil,7,0.35,0,0,0,3.9
Flat 211,6,0.55,0.02,0.01,0.19,6.4
Dear Maya,4,0.6,0.29,0.08,0.2,5
Raabta,2,0.5,0.18,0.08,0.29,4
Behen Hogi Teri,3,0.6,0,0,0,5.5
Bank Chor,2,0.55,-0.14,-0.04,0.3,5.9
Tubelight,4,0.5,0.12,0.06,0.3,4.1
Ek Haseena Thi Ek Deewana Tha,4,0.45,0,0,0,5
Mom,3,0.45,0.05,0.08,0.32,7.2
Guest Iin London,3,0.55,0,0,0,5.5
Jagga Jasoos,2,0.5,0.07,0.11,0.29,6.4
Shab,4,0.55,0.23,0.2,0.39,6.3
Lipstick Under My Burkha,4,0.5,0.11,0.06,0.26,6.8
Munna Michael,2,0.45,0.07,0.11,0.17,3.4
Indu Sarkar,4,0.55,-0.16,0,0.38,6
Mubarakan,3,0.45,0.39,0.19,0.41,5.6
Gurgaon,6,0.35,0.08,0.12,0.27,6.6
Jab Harry Met Sejal,3,0.45,0.17,0.15,0.36,5.4
Toilet: Ek Prem Katha,3,0.55,0.21,0,0.17,7.3
Yeh Hai India,2,0.5,0.06,0.04,0.39,5.6
Bareilly Ki Barfi,3,0.45,0.28,0.2,0.49,7.5
A Gentleman,2,0.55,0.26,0.14,0.36,8.1
Babumoshai Bandookbaaz,2,0.45,0,0,0,7
Yadvi ?? The Dignified Princess,6,0.5,0,0,0,8.3
Qaidi Band,4,0.65,0,0,0,5.8
Baadshaho,2,0.45,0.02,0.12,0.32,5
Shubh Mangal Savdhan,3,0.55,-0.07,0.11,0.24,6.9
Poster Boys,3,0.5,-0.04,0.04,0.27,6.2
Daddy,11,0.85,0.11,0.1,0.27,6.4
Simran,6,0.5,0.24,0.19,0.25,5.4
Lucknow Central,2,0.55,-0.01,0.05,0.27,6.2
Patel Ki Punjabi Shaadi,3,0.55,0,0,0,3.7
Newton,4,0.5,0.01,0.09,0.26,7.7
Bhoomi,2,0.5,0.21,0.13,0.27,5.4
The Final Exit,7,0.5,0.17,0.04,0.63,6.1
Haseena Parkar,6,0.5,-0.3,0.02,0.27,4.2
Judwaa 2,2,0.5,0.12,0.1,0.19,3.9
Ranchi Diaries,5,0.5,0,0,0,7.4
Secret Superstar,4,0.55,0.11,-0.17,0.57,8
Golmaal Again,2,0.55,0.15,0.06,0.26,5
Jia aur Jia,4,0.55,0.26,0.13,0.62,4.8
Rukh,4,0.55,0.27,0.13,0.31,6.4
Ittefaq,6,0.5,0.14,0.11,0.25,7.4
The House Next Door,2,0.4,-0.04,0.06,0.23,6.8
Ribbon,4,0.5,0.19,0.03,0.41,6.9
Shaadi Mein Zaroor Aana,4,0.5,0,0.33,0.47,7.7
Qarib Qarib Singlle,3,0.5,0.32,0,0.25,7
Aksar 2,6,0.55,0.14,0.12,0.44,4.1
Panchlait,4,0.65,0,0,0,8.1
Tumhari Sulu,3,0.55,0.39,0.14,0.23,7
Dil Jo Na Keh Saka,6,0.6,0,0,0,6.9
Julie 2,4,0.6,0.12,0.1,0.29,2.8
Ajji,4,0.5,0.17,0.08,0.34,7
Kadvi Hawa,4,0.5,0.62,1,1,8.1
Tera Intezaar,6,0.7,0.32,0.06,0.24,1.9
Firangi,3,0.45,0.08,0.05,0.28,4.7
Fukrey Returns,3,0.55,0.27,0,0,6.5
Game Over,4,0.45,0.06,-0.11,0.42,8
Sallu ki Shaadi,6,0.55,0,0,0,4.1
Monsoon Shootout,2,0.6,-0.38,0,0,6.5
Tiger Zinda Hai,2,0.65,0.12,0.12,0.42,6.1
1921,7,0.5,0.06,0.1,0.27,4.3
Kaalakaandi,3,0.55,0.32,0.7,0.6,6.2
Mukkabaaz,2,0.6,0.29,0.17,0.59,8.1
My Birthday Song,5,0.7,0.37,0.28,0.51,5.5
Vodka Diaries,6,0.45,0,0,0,5.7
Nirdosh,4,0.65,0.04,0.05,0.28,4.1
Union Leader,4,0.5,-0.04,0.09,0.27,7.7
Padmaavat,4,0.55,0.08,0.09,0.36,7
Pad Man,3,0.5,0.22,0.1,0.28,8
Love Per Square Foot,3,0.55,0.56,0.43,0.65,7.2
Aiyaary,2,0.55,0.2,0.08,0.36,5.2
Kuchh Bheege Alfaaz,6,0.55,0,0,0,7.6
Jaane Kyun De Yaaron,4,0.5,0,0,0,4.3
Sonu Ke Titu Ki Sweety,3,0.6,0.23,0.19,0.25,7.1
Welcome To New York,4,0.6,0.53,0.43,0.63,5.4
Pari,6,0.45,0.11,0.1,0.24,8
Veerey Ki Wedding,3,0.45,0,0.35,0.55,3.1
Billu Ustaad,4,0.55,0,0,0,7.4
Hate Story 4,4,0.4,-0.3,-0.28,0.59,5.3
Dil Juunglee,3,0.55,0,0,0,4.2
3 Storeys,4,0.4,0.09,0.08,0.32,7.3
Note Pe Chot at 8/11,3,0.45,0,0,0,5.2
Raid,2,0.45,0.12,0.09,0.36,8.5
Raja Abroadiya,6,0.6,0,0,0,6
Hichki,3,0.55,0.26,0.21,0.38,7.5
Pareshaan Parinda,2,0.6,0,0,0,7
Baa Baaa Black Sheep,2,0.55,0.4,0.09,0.49,7
Shaadi Teri Bajayenge Hum Band,3,0.6,0,0,0,5.3
Baaghi 2,2,0.5,0.21,0.18,0.39,5
Blackmail,3,0.45,-0.03,0.06,0.29,7
October,4,0.4,0.17,0.07,0.24,7.5
Mercury,2,0.5,0.02,0.08,0.29,6.6
Zoo,4,0.55,0.13,0.14,0.31,6.9
Beyond the Clouds,4,0.55,0.23,0.13,0.35,7
Nanu Ki Jaanu,3,0.45,0,0,0,6.3
Daas Dev,4,0.55,0,0,0,5.1
Ishq Tera,4,0.45,0.15,0.08,0.32,5.4
102 Not Out,3,0.55,0.14,0.11,0.33,7.5
Omerta,2,0.6,0.03,0.09,0.3,7
Raazi,2,0.5,0.26,0.15,0.44,7.8
The Past,4,0.5,0,-0.05,0.38,8
Hope Aur Hum,3,0.6,0.6,0.04,0.3,6.4
High Jack,3,0.55,0.03,0.09,0.49,5.2
Khajoor Pe Atke,3,0.45,0,0,0,5.6
Parmanu: The Story Of Pokhran,2,0.55,0,0.25,0.75,7.7
One Night Out,5,0.5,0.16,0.07,0.36,6.8
Bioscopewala,4,0.6,0.62,0,0,7.8
Veere Di Wedding,3,0.6,0.15,0.04,0.33,3.2
Bhavesh Joshi Superhero,2,0.55,0.04,-0.04,0.4,7.6
Phamous,3,0.55,0.03,0.05,0.22,3.9
Race 3,2,0.65,0.13,0.06,0.35,2.1
Sanju,6,0.45,0.18,0.17,0.29,7.9
Soorma,6,0.5,0.14,0.1,0.36,7.4
When Obama Loved Osama,3,0.45,0,0,0,5.5
Dhadak,3,0.55,0.11,0.21,0.45,4.5
"Saheb, Biwi Aur Gangster 3",6,0.4,0,0,0,4.5
Nawabzaade,3,0.6,0.76,0.7,0.6,4.8
Fanney Khan,3,0.5,-0.08,0.1,0.23,4.5
Mulk,4,0.5,0.05,0.06,0.29,6.4
Brij Mohan Amar Rahe!,3,0.55,0,0,0,7
Laxmi and Tikli Bomb,4,0.5,0,0,0,7.1
Karwaan,3,0.55,0.39,0.24,0.41,7.5
Gold,1,0.55,0.15,0.1,0.29,7.4
Satyameva Jayate,2,0.6,0.25,0.02,0.31,5.7
Happy Phirr Bhag Jayegi,3,0.7,0.93,0.8,0.88,4.6
Yamla Pagla Deewana: Phir Se,2,0.5,0,0,0,5.2
Stree,3,0.55,0.13,0.15,0.33,7.7
Paltan,2,0.5,0.19,0.2,0.39,5.3
Laila Majnu,4,0.5,0.33,0.25,0.38,7.8
Halkaa,4,0.55,-0.05,-0.1,0.13,7.3
